,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,TMVL,Thirumullaivoyal,Thirumullaivoyal Tamil Nadu,Southern Railway,Tamil Nadu,"Thirumullaivoyal, Chennai, Tamil Nadu, India",80.1314386,13.1307405
0,SNT,Sainthia,Sainthia West Bengal,Eastern Railway,West Bengal,"Sainthia, West Bengal 731234, India",87.679312,23.9486953
0,AGAE,AGRADWIP,AGRADWIP West Bengal,Eastern Railway,West Bengal,"Agradwip, West Bengal, India",88.2557623,23.5953826
0,MCN,Mukundarayapurm,Mukundarayapurm Tamil Nadu,Southern Railway,Tamil Nadu,"Mukundarayapuram, Ranipet, Tamil Nadu, India",79.2873953,12.9721157
0,MJBK,Manjari Budruk,Manjari Budruk Maharashtra,Central Railway,Maharashtra,"Manjari Budruk, Pune, Maharashtra 412307, India",73.9825734,18.521266
0,NMX,New Maynaguri,New Maynaguri West Bengal,North Frontier Railway,West Bengal,"New Maynaguri - Jogighopa Line, West Bengal, India",89.4135253,26.3750107
0,SNDD,Sindhudurg,Sindhudurg Maharashtra,Konkan Railway,Maharashtra,"Sindhudurg, Maharashtra, India",73.5594128,16.1668396
0,KLH,KHEMLI,KHEMLI Rajasthan,North Western Railway,Rajasthan,"Khemli, Rajasthan 313201, India",73.8482595,24.6766867
0,TLR,Tulsipur,Tulsipur Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Tulsipur, Uttar Pradesh, India",82.4156829,27.5246311
0,BS,BANISAR,BANISAR Rajasthan,North Western Railway,Rajasthan,"Benisar, Rajasthan 331811, India",73.9022222,28.0739134
0,SKP,Shankarpalli,Shankarpalli Telangana,South Central Railway,Telangana,"Shankarpalle, Telangana 501203, India",78.1315064,17.4551243
0,MDPA,MANDPIYA,MANDPIYA Rajasthan,North Western Railway,Rajasthan,"Mandpiya, Rajasthan, India",74.6385793,25.2616468
0,REI,Rithi,Rithi Madhya Pradesh,West Central Railway,Madhya Pradesh,"Rithi, Madhya Pradesh 483990, India",80.1344842,23.9063767
0,IPPM,IPURUPALEM,IPURUPALEM Andhra Pradesh,Eastern Railway,Andhra Pradesh,"Ipurupalem, Chirala, Ipuru Palem Rural, Andhra Pradesh 523166, India",80.3839584,15.8511736
0,MGR,Monghyr,Monghyr Bihar,Eastern Railway,Bihar,"Munger, Bihar 811201, India",86.4733903,25.3707993
0,JMPT,Jimidipeta,Jimidipeta Odisha,East Coast Railway,Odisha,"Jimidipeta, Odisha 765002, India",83.4259987,19.0439928
0,KRR,Karur,Karur Tamil Nadu,Southern Railway,Tamil Nadu,"Karur, Tamil Nadu, India",78.0766036,10.9600778
0,DARA,Dara,Dara Rajasthan,West Central Railway,Rajasthan,"Dara, Rajasthan 325003, India",76.0065494,24.8349488
0,BRW,BARIWALA,BARIWALA Punjab,Northern Railway,Punjab,"Bariwala, Punjab 152025, India",74.6524859,30.5379151
0,UMRI,Umri,Umri Maharashtra,South Central Railway,Maharashtra,"Umri, Maharashtra, India",77.6434606,19.040375
0,RD,Honnavalli Rd,Honnavalli Rd Bihar,East Central Railway,Bihar,"Bihar, India",85.2722472,25.9644427
0,BGPA,BAGESHAPURA,BAGESHAPURA Karnataka,South Western Railway,Karnataka,"Bageshpura, Karnataka 573118, India",76.2211151,13.1176993
0,RMF,Ramna,Ramna Jharkhand,East Central Railway,Jharkhand,"Ramna, Jharkhand 822128, India",83.6082346,24.229874
0,KLRE,Khalari,Khalari Jharkhand,East Central Railway,Jharkhand,"Khalari, Jharkhand, India",84.9915456,23.6510663
0,MHBA,Mathabhanga,Mathabhanga West Bengal,North Frontier Railway,West Bengal,"Mathabhanga, West Bengal 736146, India",89.2153363,26.3427291
0,UMRI,Lalpur Umri,Lalpur Umri Maharashtra,South Central Railway,Maharashtra,"Lalpur, Maharashtra 425419, India",73.9256948,21.5608051
0,AYN,AIYANAPURAM,AIYANAPURAM Tamil Nadu,Southern Railway,Tamil Nadu,"Aiyanapuram, Kangeyampatti, Tamil Nadu 613602, India",78.9389787,10.7877993
0,AHN,AHIRAN,AHIRAN West Bengal,Eastern Railway,West Bengal,"Ahiran, West Bengal, India",88.0263536,24.5182109
0,PNV,PANEVADI,PANEVADI Maharashtra,Central Railway,Maharashtra,"Panevadi, Maharashtra 423104, India",74.5053196,20.2694465
0,RAKD,Radhakund,Radhakund Uttar Pradesh,North Central Railway,Uttar Pradesh,"Radha Kund, Uttar Pradesh 281504, India",77.4909896,27.5245367
0,MAU,Mau Jn,Mau Jn Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Mau Jn, Railway Line Road, Railway Colony, Mau, Uttar Pradesh 275101, India",83.5642715,25.9392703
0,KLRS,Kolaras,Kolaras Madhya Pradesh,West Central Railway,Madhya Pradesh,"Kolaras, Madhya Pradesh, India",77.6106512,25.2242588
0,LDA,Lidhora Khurd,Lidhora Khurd Madhya Pradesh,West Central Railway,Madhya Pradesh,"Lidhora Khurd, Madhya Pradesh, India",78.8920444,23.8506344
0,IPR,Islampur,Islampur Bihar,East Central Railway,Bihar,"Islampur, Bihar, India",85.2051451,25.1429543
0,MLM,MALTHAN,MALTHAN Maharashtra,Central Railway,Maharashtra,"Malthan, Maharashtra 412218, India",74.227313,18.8380523
0,SNS,Mekra Memerkhab,Mekra Memerkhab Uttar Pradesh,North Central Railway,Uttar Pradesh,"Uttar Pradesh, India",80.0981869,27.5705886
0,SLJR,SALGA JHARI,SALGA JHARI Jharkhand,South Eastern Railway,Jharkhand,"Salgajhari, Parsudih, Jamshedpur, Jharkhand 831002, India",86.222202,22.7526588
0,VPZ,VAILAPUZHA,VAILAPUZHA Kerala,Southern Railway,Kerala,"Vallapuzha, Kerala 679336, India",76.251687,10.8399772
0,HKR,Hiwarkhed,Hiwarkhed Maharashtra,South Central Railway,Maharashtra,"Hiwarkhed, Maharashtra 444103, India",76.8579271,21.1312898
0,VEU,Veppampattu,Veppampattu Tamil Nadu,Southern Railway,Tamil Nadu,"Veppambaattu, Tamil Nadu 602024, India",80.0076424,13.1291081
0,ZN,Jangaon,Jangaon Telangana,South Central Railway,Telangana,"Jangaon, Telangana, India",79.1517868,17.7226509
0,RNTL,RANITAL,RANITAL Odisha,South Eastern Railway,Odisha,"Ranital Road, Odisha, India",86.5457514,21.1501734
0,NHM,Nandol Dehegam,Nandol Dehegam Gujarat,Western Railway,Gujarat,"Nandol, Gujarat 382305, India",72.8183134,23.2105683
0,BANI,BANI BIHAR,BANI BIHAR Uttar Pradesh,Northern Railway,Uttar Pradesh,"Bihar, Uttar Pradesh 209866, India",80.8350109,26.2881732
0,MTU,Matmari,Matmari Karnataka,South Central Railway,Karnataka,"Matmari, Karnataka 584202, India",77.3,16.033333
0,GB,Gauri Bazar,Gauri Bazar Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Gauri Bazar, Uttar Pradesh, India",83.6707463,26.5958962
0,UBC,Ambala City,Ambala City Punjab,Northern Railway,Punjab,"Ambala, Punjab, India",75.7095266,31.7164113
0,BTS,Basta,Basta Odisha,South Eastern Railway,Odisha,"Basta, Odisha 756029, India",87.0599282,21.6967772
0,PRNC,Purnia Court,Purnia Court Bihar,East Central Railway,Bihar,"Purnia Court, PWD Colony, Purnia, Bihar 854304, India",87.4752769,25.7954119
0,BEM,Budaun,Budaun Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Budaun, Uttar Pradesh 243601, India",79.1271229,28.0311101
0,BNTL,BANTAWALA,BANTAWALA Karnataka,South Western Railway,Karnataka,"Bantwal, Karnataka, India",75.0412305,12.9012483
0,SSA,Sirsa,Sirsa Haryana,North Western Railway,Haryana,"Sirsa, Haryana 125055, India",75.0317734,29.5320731
0,SWR,Sitimani,Sitimani Jharkhand,South Eastern Railway,Jharkhand,"Jharkhand, India",85.2722472,23.6913486
0,GNNA,GANGANI,GANGANI Bihar,Eastern Railway,Bihar,"Bihar, India",85.2722472,25.9644427
0,PH,Marripalem Ph,Marripalem Ph Himachal Pradesh,Northern Railway,Himachal Pradesh,"Marripalem, Visakhapatnam, Andhra Pradesh, India",83.251907,17.740063
0,KRRA,KARRA,KARRA Jharkhand,South Eastern Railway,Jharkhand,"Karra, Jharkhand 835209, India",85.1297844,23.1257895
0,KPG,Kopargaon,Kopargaon Maharashtra,Central Railway,Maharashtra,"Kopargaon, Maharashtra, India",74.4727826,19.8848736
0,HOH,HONAGANAHALLI,HONAGANAHALLI Karnataka,South Western Railway,Karnataka,"Honaganahalli, Karnataka 571455, India",76.5921665,12.5264102
0,NMZ,New Mal Jn,New Mal Jn West Bengal,North Frontier Railway,West Bengal,"West Bengal, India",87.8549755,22.9867569
0,MHT,Manjhi,Manjhi Bihar,North Eastern Railway,Bihar,"Manjhi Paschimi, Bihar 841313, India",84.5742686,25.8392478
0,HRSN,Harisinga,Harisinga Assam,North Frontier Railway,Assam,"Harisinga, Assam 784510, India",91.9870062,26.730562
0,MLG,Malhargarh,Malhargarh Madhya Pradesh,Western Railway,Madhya Pradesh,"Malhargarh, Madhya Pradesh 458339, India",74.9904818,24.285136
0,ERSD,D Cabin,D Cabin Kerala,Southern Railway,Kerala,"Kerala, India",76.6412712,10.1631526
0,ODC,ODDANCHATRAM,ODDANCHATRAM Tamil Nadu,Southern Railway,Tamil Nadu,"Oddanchatram, Tamil Nadu 624619, India",77.7543611,10.4897472
0,TUV,TUVVUR,TUVVUR Kerala,Southern Railway,Kerala,"Thuvvur, Kerala, India",76.2858625,11.1131613
0,MNTT,MULANTURUTTI,MULANTURUTTI Kerala,Southern Railway,Kerala,"Mulanthuruthy, Kerala 682314, India",76.3844271,9.9003047
0,JHK,JETHUKE,JETHUKE Punjab,Northern Railway,Punjab,"Jethuke, Punjab 151103, India",75.3222685,30.2892188
0,NRKR,Narkher,Narkher Maharashtra,Central Railway,Maharashtra,"Narkhed, Maharashtra 441304, India",78.5291706,21.4691505
0,RMA,Ramganj Mandi,Ramganj Mandi Rajasthan,West Central Railway,Rajasthan,"Ramganj Mandi, Rajasthan, India",75.9450812,24.6461795
